Model,task,raw_accuracy,chance_baseline,normalized_score,file
AALF/FuseChat-Llama-3.1-8B-SFT-preview,leaderboard_musr_team_allocation,0.364,0.3333333333333333,4.6000000000000005,real_attachments/C_efficiency_evolution/detailed_results/AALF_FuseChat-Llama-3.1-8B-SFT-preview/results_2024-11-21T13-45-14.605333.json
AALF/gemma-2-27b-it-SimPO-37K,leaderboard_musr_murder_mysteries,0.496,0.5,0.0,real_attachments/C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K/results_2024-09-01T02-53-57.422115.json
AALF/gemma-2-27b-it-SimPO-37K,leaderboard_musr_object_placements,0.23828125,0.2,4.785156249999998,real_attachments/C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K/results_2024-09-01T02-53-57.422115.json
AALF/gemma-2-27b-it-SimPO-37K,leaderboard_musr_team_allocation,0.312,0.3333333333333333,0.0,real_attachments/C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K/results_2024-09-01T02-53-57.422115.json
AALF/gemma-2-27b-it-SimPO-37K-100steps,leaderboard_musr_murder_mysteries,0.476,0.5,0.0,real_attachments/C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K-100steps/results_2024-09-27T18-43-00.611233.json
AALF/gemma-2-27b-it-SimPO-37K-100steps,leaderboard_musr_object_placements,0.21875,0.2,2.3437499999999987,real_attachments/C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K-100steps/results_2024-09-27T18-43-00.611233.json
AALF/gemma-2-27b-it-SimPO-37K-100steps,leaderboard_musr_team_allocation,0.304,0.3333333333333333,0.0,real_attachments/C_efficiency_evolution/detailed_results/AALF_gemma-2-27b-it-SimPO-37K-100steps/results_2024-09-27T18-43-00.611233.json
AELLM/gemma-2-aeria-infinity-9b,leaderboard_musr_murder_mysteries,0.552,0.5,10.40000000000001,real_attachments/C_efficiency_evolution/detailed_results/AELLM_gemma-2-aeria-infinity-9b/results_2024-10-09T11-48-07.657590.json
AELLM/gemma-2-aeria-infinity-9b,leaderboard_musr_object_placements,0.25390625,0.2,6.738281249999998,real_attachments/C_efficiency_evolution/detailed_results/AELLM_gemma-2-aeria-infinity-9b/results_2024-10-09T11-48-07.657590.json
AELLM/gemma-2-aeria-infinity-9b,leaderboard_musr_team_allocation,0.4,0.3333333333333333,10.000000000000005,real_attachments/C_efficiency_evolution/detailed_results/AELLM_gemma-2-aeria-infinity-9b/results_2024-10-09T11-48-07.657590.json
AELLM/gemma-2-lyco-infinity-9b,leaderboard_musr_murder_mysteries,0.556,0.5,11.20000000000001,real_attachments/C_efficiency_evolution/detailed_results/AELLM_gemma-2-lyco-infinity-9b/results_2024-10-10T12-58-52.149709.json
AELLM/gemma-2-lyco-infinity-9b,leaderboard_musr_object_placements,0.25390625,0.2,6.738281249999998,real_attachments/C_efficiency_evolution/detailed_results/AELLM_gemma-2-lyco-infinity-9b/results_2024-10-10T12-58-52.149709.json
AELLM/gemma-2-lyco-infinity-9b,leaderboard_musr_team_allocation,0.392,0.3333333333333333,8.800000000000004,real_attachments/C_efficiency_evolution/detailed_results/AELLM_gemma-2-lyco-infinity-9b/results_2024-10-10T12-58-52.149709.json
AGI-0/Art-v0-3B,leaderboard_musr_murder_mysteries,0.508,0.5,1.6000000000000014,real_attachments/C_efficiency_evolution/detailed_results/AGI-0_Art-v0-3B/results_2025-01-18T12-23-40.344038.json
AGI-0/Art-v0-3B,leaderboard_musr_object_placements,0.25390625,0.2,6.738281249999998,real_attachments/C_efficiency_evolution/detailed_results/AGI-0_Art-v0-3B/results_2025-01-18T12-23-40.344038.json
AGI-0/Art-v0-3B,leaderboard_musr_team_allocation,0.436,0.3333333333333333,15.4,real_attachments/C_efficiency_evolution/detailed_results/AGI-0_Art-v0-3B/results_2025-01-18T12-23-40.344038.json
AGI-0/Artificium-llama3.1-8B-001,leaderboard_musr_murder_mysteries,0.512,0.5,2.400000000000002,real_attachments/C_efficiency_evolution/detailed_results/AGI-0_Artificium-llama3.1-8B-001/results_2024-09-11T00-52-31.543315.json
