Model,date,type,N,license,exclusion
Darkknight535/OpenCrystal-12B-L3,2024-08-26,merge,11.52,,license_unverified;
DavidAU/DeepHermes-3-Llama-3-8B-Preview-16.5B-Brainstorm,2025-03-10,chat_finetuned,16.537,,license_unverified;
DavidAU/DeepSeek-BlackRoot-R1-Distill-Llama-3.1-8B,2025-03-10,chat_finetuned,8.03,,license_unverified;
DavidAU/DeepSeek-Grand-Horror-SMB-R1-Distill-Llama-3.1-16B,2025-03-10,chat_finetuned,15.664,,license_unverified;
DavidAU/DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Deep-Thinker-Uncensored-24B,2025-03-10,chat_finetuned,24.942,,license_unverified;
DavidAU/DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Mad-Scientist-24B,2025-03-10,chat_finetuned,24.942,,license_unverified;
DavidAU/DeepSeek-R1-Distill-Qwen-25.5B-Brainstorm,2025-03-10,chat_finetuned,25.506,,license_unverified;
DavidAU/DeepSeek-V2-Grand-Horror-SMB-R1-Distill-Llama-3.1-Uncensored-16.5B,2025-03-10,chat_finetuned,16.537,,license_unverified;
DavidAU/DeepThought-MOE-8X3B-R1-Llama-3.2-Reasoning-18B,2025-03-10,chat_finetuned,18.405,,license_unverified;
DavidAU/Gemma-The-Writer-9B,2025-01-11,merge,10.159,,license_unverified;
DavidAU/Gemma-The-Writer-DEADLINE-10B,2025-01-11,merge,10.952,,license_unverified;
DavidAU/Gemma-The-Writer-J.GutenBerg-10B,2025-01-11,merge,10.034,,license_unverified;
DavidAU/Gemma-The-Writer-Mighty-Sword-9B,2025-01-11,merge,10.159,,license_unverified;
DavidAU/Gemma-The-Writer-N-Restless-Quill-10B-Uncensored,2025-01-11,merge,10.034,,license_unverified;
DavidAU/L3-DARKEST-PLANET-16.5B,2025-01-11,merge,16.537,,license_unverified;
DavidAU/L3-Dark-Planet-8B,2024-09-12,chat_finetuned,8.03,,license_unverified;
DavidAU/L3-Jamet-12.2B-MK.V-Blackroot-Instruct,2024-09-04,chat_finetuned,12.174,,license_unverified;
DavidAU/L3-Lumimaid-12.2B-v0.1-OAS-Instruct,2024-09-12,chat_finetuned,12.174,,license_unverified;
DavidAU/L3-SMB-Instruct-12.2B-F32,2024-09-12,chat_finetuned,12.174,,license_unverified;
DavidAU/L3-Stheno-Maid-Blackroot-Grand-HORROR-16B,2024-09-04,chat_finetuned,16.537,,license_unverified;
DavidAU/L3-Stheno-v3.2-12.2B-Instruct,2024-09-12,chat_finetuned,12.174,,license_unverified;
DavidAU/L3.1-Dark-Planet-SpinFire-Uncensored-8B,2025-01-11,merge,8.03,,license_unverified;
DavidAU/L3.1-MOE-2X8B-Deepseek-DeepHermes-e32-uncensored-abliterated-13.7B,2025-03-10,chat_finetuned,13.668,,license_unverified;
DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,2025-03-10,chat_finetuned,4.089,,license_unverified;
DavidAU/Qwen2.5-MOE-2X7B-DeepSeek-Abliterated-Censored-19B,2025-03-10,chat_finetuned,19.022,,license_unverified;
DavidAU/Qwen2.5-MOE-6x1.5B-DeepSeek-Reasoning-e32,2025-03-10,chat_finetuned,8.714,,license_unverified;
Davidsv/SUONG-1,2025-02-14,merge,2.879,,license_unverified;
DavieLion/Llama-3.2-1B-SPIN-iter0,2024-12-29,chat_finetuned,1.236,llama3.2,
DavieLion/Llama-3.2-1B-SPIN-iter0,2024-12-29,chat_finetuned,1.236,llama3.2,
DavieLion/Llama-3.2-1B-SPIN-iter1,2024-12-29,chat_finetuned,1.236,llama3.2,
DavieLion/Llama-3.2-1B-SPIN-iter2,2024-12-29,chat_finetuned,1.236,llama3.2,
DavieLion/Llama-3.2-1B-SPIN-iter3,2024-12-29,chat_finetuned,1.236,llama3.2,
DavieLion/Llama-3.2-1B-SPIN-iter3,2024-12-29,chat_finetuned,1.236,llama3.2,
DavieLion/Lllma-3.2-1B,2024-12-27,chat_finetuned,1.236,llama3.2,
DebateLabKIT/Llama-3.1-Argunaut-1-8B-SFT,2025-01-02,chat_finetuned,8.03,llama3.1,
Deci/DeciLM-7B,2024-06-12,pretrained,7.044,apache-2.0,
Deci/DeciLM-7B-instruct,2024-06-12,chat_finetuned,7.044,apache-2.0,
DeepAutoAI/Explore_Llama-3.1-8B-Inst,2024-10-09,merge,8.03,apache-2.0,
DeepAutoAI/Explore_Llama-3.2-1B-Inst,2024-10-09,merge,1.236,apache-2.0,
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v0,2024-10-08,merge,1.236,,license_unverified;
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1,2024-10-08,merge,1.236,apache-2.0,
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1.1,2024-10-17,merge,1.236,apache-2.0,
DeepAutoAI/causal_gpt2,2024-10-17,merge,0.124,,license_unverified;
DeepAutoAI/d2nwg_Llama-3.1-8B-Instruct-v0.0,2024-09-10,merge,8.03,,license_unverified;
DeepAutoAI/d2nwg_causal_gpt2,2024-10-18,merge,0.124,,license_unverified;
DeepAutoAI/d2nwg_causal_gpt2_v1,2024-10-19,merge,0.124,,license_unverified;
DeepAutoAI/ldm_soup_Llama-3.1-8B-Inst,2024-10-09,merge,8.03,apache-2.0,
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.0,2024-09-15,merge,8.03,,license_unverified;
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.1,2024-09-16,merge,8.03,,license_unverified;
DeepMount00/Lexora-Lite-3B,2024-10-20,chat_finetuned,3.086,,license_unverified;
DeepMount00/Lexora-Lite-3B_v2,2025-02-25,chat_finetuned,3.086,,license_unverified;
DeepMount00/Lexora-Medium-7B,2024-09-24,chat_finetuned,7.616,apache-2.0,
DeepMount00/Llama-3-8b-Ita,2024-06-27,chat_finetuned,8.03,llama3,
DeepMount00/Llama-3.1-8b-ITA,2024-10-28,chat_finetuned,8.03,,license_unverified;
DeepMount00/Llama-3.1-8b-Ita,,other,0.0,,license_unverified;missing_submission_date;invalid_N;
DeepMount00/Llama-3.1-Distilled,2024-10-25,chat_finetuned,8.03,llama3,
DeepMount00/Qwen2-1.5B-Ita,2025-02-28,chat_finetuned,1.544,apache-2.0,
DeepMount00/Qwen2-1.5B-Ita_v2,2025-03-06,chat_finetuned,1.544,apache-2.0,
DeepMount00/Qwen2-1.5B-Ita_v3,2025-03-06,chat_finetuned,1.544,apache-2.0,
DeepMount00/Qwen2-1.5B-Ita_v5,2025-03-10,chat_finetuned,1.544,apache-2.0,
DeepMount00/Qwen2-1.5B-Ita_v6,2025-03-10,merge,1.497,,license_unverified;
DeepMount00/Qwen2.5-7B-Instruct-MathCoder,2024-10-24,chat_finetuned,7.616,,license_unverified;
DeepMount00/mergekit-ties-okvgjfz,2024-10-24,chat_finetuned,7.616,,license_unverified;
Delta-Vector/Baldur-8B,2024-10-06,chat_finetuned,8.0,,license_unverified;
Delta-Vector/Control-8B,2024-11-25,chat_finetuned,8.03,,license_unverified;
Delta-Vector/Control-8B-V1.1,2024-11-25,chat_finetuned,8.03,,license_unverified;
Delta-Vector/Darkens-8B,2024-10-06,chat_finetuned,8.414,,license_unverified;
Delta-Vector/Henbane-7b-attempt2,2024-10-11,chat_finetuned,7.0,apache-2.0,
Delta-Vector/Odin-9B,2024-10-06,chat_finetuned,9.242,,license_unverified;
Delta-Vector/Tor-8B,2024-10-06,chat_finetuned,8.414,,license_unverified;
DevQuasar/DevQuasar-R1-Uncensored-Llama-8B,2025-02-09,merge,8.03,mit,
Dongwei/DeepSeek-R1-Distill-Qwen-7B-GRPO,2025-02-05,chat_finetuned,7.616,,license_unverified;
DoppelReflEx/L3-8B-R1-WolfCore,2025-02-28,merge,8.03,cc-by-nc-4.0,
DoppelReflEx/L3-8B-R1-WolfCore-V1.5-test,2025-03-01,merge,8.03,,license_unverified;
DoppelReflEx/L3-8B-WolfCore,2025-02-28,merge,8.03,,license_unverified;
DoppelReflEx/MN-12B-FoxFrame-test,2025-02-06,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-FoxFrame2-test,2025-02-08,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MN-12B-FoxFrame3-test,2025-02-08,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MN-12B-Kakigori,2025-01-29,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MN-12B-LilithFrame,2025-01-29,chat_finetuned,12.248,,license_unverified;
DoppelReflEx/MN-12B-LilithFrame,2025-01-29,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-LilithFrame-Experiment-2,2025-01-29,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-LilithFrame-Experiment-3,2025-01-29,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-LilithFrame-Experiment-4,2025-01-30,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MN-12B-Mimicore-GreenSnake,2025-01-27,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MN-12B-Mimicore-Nocturne,2025-03-09,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MN-12B-Mimicore-Orochi,2025-01-28,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MN-12B-Mimicore-Orochi-v2-Experiment,2025-01-28,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-Mimicore-Orochi-v3-Experiment,2025-01-28,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-Mimicore-Orochi-v4-Experiment,2025-01-28,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-Mimicore-WhiteSnake,2025-01-27,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MN-12B-Mimicore-WhiteSnake-v2-Experiment-1,2025-01-29,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-Mimicore-WhiteSnake-v2-Experiment-2,2025-01-29,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-Mimicore-WhiteSnake-v2-Experiment-3,2025-01-29,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-Mimicore-WhiteSnake-v2-Experiment-4,2025-01-29,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MN-12B-Unleashed-Twilight,2025-02-10,merge,12.248,,license_unverified;
DoppelReflEx/MN-12B-WolFrame,2025-02-01,merge,12.248,cc-by-nc-4.0,
DoppelReflEx/MiniusLight-24B,2025-03-04,merge,23.572,cc-by-nc-4.0,
DoppelReflEx/MiniusLight-24B-test,2025-03-04,merge,23.572,,license_unverified;
DoppelReflEx/MiniusLight-24B-v1b-test,2025-03-04,merge,23.572,,license_unverified;
DoppelReflEx/MiniusLight-24B-v1c-test,2025-03-04,merge,23.572,cc-by-nc-4.0,
DoppelReflEx/MiniusLight-24B-v1d-test,2025-03-07,merge,23.572,cc-by-nc-4.0,
DreadPoor/Again-8B-Model_Stock,2024-12-17,merge,4.015,,license_unverified;
DreadPoor/Alita99-8B-LINEAR,2024-11-26,merge,8.03,apache-2.0,
DreadPoor/AnotherTest,2025-01-29,merge,8.03,,license_unverified;
DreadPoor/Aspire-8B-model_stock,2024-09-17,merge,8.03,cc-by-nc-4.0,
DreadPoor/Aspire_1.3-8B_model-stock,2024-11-01,merge,8.03,,license_unverified;
DreadPoor/Aspire_V2-8B-Model_Stock,2025-01-20,merge,8.03,,license_unverified;
DreadPoor/Aspire_V2.1-8B-Model_Stock,2025-01-20,merge,8.03,,license_unverified;
DreadPoor/Aspire_V2_ALT-8B-Model_Stock,2025-01-20,merge,8.03,,license_unverified;
DreadPoor/Aspire_V2_ALT_ROW-8B-Model_Stock,2025-01-20,merge,8.03,,license_unverified;
DreadPoor/Aspire_V3-8B-Model_Stock,2025-01-21,merge,8.03,,license_unverified;
DreadPoor/Aspire_V4-8B-Model_Stock,2025-01-22,merge,8.03,,license_unverified;
DreadPoor/Aspire_V4_ALT-8B-Model_Stock,2025-01-22,merge,8.03,,license_unverified;
DreadPoor/Asymmetric_Linearity-8B-Model_Stock,2024-12-20,merge,4.015,,license_unverified;
DreadPoor/Aurora_faustus-8B-LINEAR,2024-09-26,merge,8.03,apache-2.0,
DreadPoor/Aurora_faustus-8B-LORABLATED,2024-09-29,merge,8.03,,license_unverified;
DreadPoor/Aurora_faustus-8B-LORABLATED_ALT,2024-09-29,merge,8.03,,license_unverified;
DreadPoor/Autumn_Dawn-8B-LINEAR,2025-02-01,merge,8.03,,license_unverified;
DreadPoor/BaeZel-8B-LINEAR,2024-11-08,merge,8.03,apache-2.0,
DreadPoor/BaeZel-8B-Model_Stock,2024-12-29,merge,8.03,,license_unverified;
DreadPoor/BaeZel_V2-8B-Model_Stock,2025-01-28,merge,8.03,,license_unverified;
DreadPoor/BaeZel_V2_ALT-8B-Model_Stock,2025-01-28,merge,8.03,,license_unverified;
DreadPoor/BaeZel_V3-8B-Model_Stock,2025-01-09,merge,8.03,,license_unverified;
DreadPoor/Blunt_Edge-8B-SLERP,2025-01-18,merge,8.03,,license_unverified;
DreadPoor/BulkUp,2025-01-27,merge,8.03,,license_unverified;
DreadPoor/Cadence-8B-LINEAR,2025-02-25,merge,8.03,,license_unverified;
DreadPoor/Caelid-8B-Model_Stock,2025-01-14,merge,8.03,,license_unverified;
DreadPoor/Casuar-9B-Model_Stock,2024-12-21,merge,9.242,apache-2.0,
DreadPoor/Condensed_Milk-8B-Model_Stock,2024-11-27,merge,8.03,,license_unverified;
DreadPoor/CoolerCoder-8B-LINEAR,2024-11-20,merge,8.03,,license_unverified;
DreadPoor/Damasteel-8B-LINEAR,2024-11-01,merge,8.03,,license_unverified;
DreadPoor/Dearly_Beloved-8B-TIES,2024-11-22,merge,8.03,,license_unverified;
DreadPoor/Decayed-8B-LINEAR,2025-02-25,merge,8.03,,license_unverified;
DreadPoor/Derivative-8B-Model_Stock,2025-01-03,merge,8.03,apache-2.0,
DreadPoor/Derivative_V2-8B-Model_Stock,2025-01-07,merge,8.03,,license_unverified;
DreadPoor/Derivative_V2_ALT-8B-Model_Stock,2025-01-07,merge,8.03,,license_unverified;
DreadPoor/Derivative_V3-8B-Model_Stock,2025-01-08,merge,8.03,,license_unverified;
DreadPoor/Elusive_Dragon_Heart-8B-LINEAR,2024-12-18,merge,4.015,,license_unverified;
DreadPoor/Emu_Eggs-9B-Model_Stock,2024-10-18,merge,9.242,,license_unverified;
DreadPoor/Eunoia_Vespera-8B-LINEAR,2024-09-22,merge,8.03,,license_unverified;
DreadPoor/Fu_sion_HA-8B-SLERP,2025-01-17,merge,8.03,,license_unverified;
DreadPoor/HOT_STINKING_GARBAGE,2025-02-03,merge,8.03,,license_unverified;
DreadPoor/H_the_eighth-8B-LINEAR,2025-03-06,merge,8.03,,license_unverified;
DreadPoor/Happy_New_Year-8B-Model_Stock,2024-12-31,merge,8.03,,license_unverified;
DreadPoor/Heart_Stolen-8B-Model_Stock,2024-09-10,merge,8.03,cc-by-nc-4.0,
DreadPoor/Heart_Stolen-ALT-8B-Model_Stock,2024-09-11,merge,8.03,,license_unverified;
DreadPoor/Here_We_Go_Again-8B-SLERP,2024-12-31,merge,4.015,,license_unverified;
DreadPoor/Howdy-8B-LINEAR,2025-01-16,merge,8.03,,license_unverified;
DreadPoor/Incidental-8B-Model_Stock,2025-01-13,merge,8.03,,license_unverified;
DreadPoor/Irina-8B-model_stock,2024-08-30,merge,8.03,,license_unverified;
DreadPoor/Kindling-8B-Model_Stock,2025-01-26,merge,8.03,,license_unverified;
DreadPoor/L3.1-BaeZel-8B-Della,2024-11-15,merge,8.03,,license_unverified;
DreadPoor/Laughing_Stock-8B-Model_Stock,2025-01-27,merge,8.03,,license_unverified;
DreadPoor/Lava_Lamp-8B-SLERP,2025-01-18,merge,8.03,,license_unverified;
DreadPoor/LemonP-8B-Model_Stock,2025-01-19,merge,8.03,apache-2.0,
DreadPoor/Lydia_of_Whiterun-8B-LINEAR,2025-02-26,merge,8.03,,license_unverified;
DreadPoor/Matryoshka-8B-LINEAR,2024-12-02,merge,8.03,,license_unverified;
DreadPoor/Mercury_In_Retrograde-8b-Model-Stock,2024-12-03,merge,8.03,,license_unverified;
DreadPoor/Minthy-8B-Model_Stock,2025-01-26,merge,8.03,,license_unverified;
DreadPoor/Minthy_ALT-8B-Model_Stock,2025-01-26,merge,8.03,,license_unverified;
DreadPoor/Minthy_V2-8B-Model_Stock,2025-01-26,merge,8.03,,license_unverified;
DreadPoor/Minus_Penus-8B-Model_Stock,2025-03-07,merge,8.03,,license_unverified;
DreadPoor/Morphing-8B-Model_Stock,2025-01-14,merge,8.03,,license_unverified;
DreadPoor/Not_Even_My_Final_Form-8B-Model_Stock,2025-01-14,merge,8.03,,license_unverified;
DreadPoor/Nother_One-8B-Model_Stock,2025-01-19,merge,8.03,,license_unverified;
DreadPoor/Noxis-8B-LINEAR,2025-03-13,merge,8.03,,license_unverified;
DreadPoor/Nullsworn-12B-LINEAR,2025-03-10,merge,12.248,,license_unverified;
DreadPoor/Nwah-8B-Model_Stock,2025-02-26,merge,8.03,,license_unverified;
DreadPoor/ONeil-model_stock-8B,2024-07-15,merge,8.03,cc-by-nc-4.0,
DreadPoor/Oh_Boy-8B-LINEAR,2025-01-29,merge,8.03,,license_unverified;
DreadPoor/OrangeJ-8B-Model_Stock,2025-01-21,merge,8.03,,license_unverified;
DreadPoor/Promissum_Mane-8B-LINEAR,2024-09-30,merge,8.03,,license_unverified;
DreadPoor/Promissum_Mane-8B-LINEAR-lorablated,2024-09-30,merge,8.03,,license_unverified;
DreadPoor/RPMash-8B-Model_Stock,2025-01-22,merge,8.03,,license_unverified;
DreadPoor/RPMash_V3-8B-Model_Stock,2025-01-25,merge,8.03,,license_unverified;
DreadPoor/Rusted_Gold-8B-LINEAR,2025-03-07,merge,8.03,,license_unverified;
DreadPoor/Rusted_Platinum-8B-LINEAR,2025-03-06,merge,8.03,,license_unverified;
DreadPoor/Rusted_Platinum-8B-Model_Stock,2025-03-06,merge,8.03,,license_unverified;
DreadPoor/Sellen-8B-model_stock,2024-08-27,merge,8.03,,license_unverified;
DreadPoor/Something-8B-Model_Stock,2025-01-15,merge,8.03,,license_unverified;
DreadPoor/Spring_Dusk-8B-SCE,2025-02-02,merge,8.03,,license_unverified;
DreadPoor/Summer_Dawn-8B-SCE,2025-02-02,merge,8.03,,license_unverified;
DreadPoor/Summer_Dusk-8B-TIES,2025-02-05,merge,8.03,,license_unverified;
DreadPoor/Summer_Rain-8B-SCE,2025-02-02,merge,8.03,,license_unverified;
DreadPoor/Summer_Rain-8B-TIES,2025-02-02,merge,8.03,,license_unverified;
DreadPoor/Sun-8B-Model_Stock,2025-01-27,merge,8.03,,license_unverified;
DreadPoor/Sweetened_Condensed_Milk-8B-Model_Stock,2024-11-27,merge,8.03,,license_unverified;
DreadPoor/TEST02-Ignore,2025-02-05,merge,8.03,,license_unverified;
DreadPoor/TEST03-ignore,2025-02-05,merge,8.03,,license_unverified;
DreadPoor/TEST06-ignore,2025-02-07,merge,8.03,,license_unverified;
DreadPoor/TEST07-ignore,2025-02-07,merge,8.03,,license_unverified;
DreadPoor/TEST08-ignore,2025-02-07,merge,8.03,,license_unverified;
DreadPoor/Trinas_Nectar-8B-model_stock,2024-08-27,merge,8.03,cc-by-nc-4.0,
DreadPoor/UNTESTED-VENN_1.2-8B-Model_Stock,2024-12-27,merge,4.015,,license_unverified;
DreadPoor/VENN_1.2-8B-Model_Stock,2024-12-28,merge,4.015,,license_unverified;
DreadPoor/WIP-Acacia-8B-Model_Stock,2024-11-28,merge,8.03,,license_unverified;
DreadPoor/WIP_Damascus-8B-TIES,2024-10-29,merge,8.03,,license_unverified;
DreadPoor/Wannabe-8B-Model_Stock,2025-01-28,merge,8.03,,license_unverified;
DreadPoor/What_A_Thrill-8B-Model_Stock,2025-01-16,merge,8.03,,license_unverified;
DreadPoor/Winter-8B-SCE,2025-02-02,merge,8.03,,license_unverified;
DreadPoor/Winter_Dawn-8B-TIES,2025-02-01,merge,8.03,,license_unverified;
DreadPoor/Winter_Dusk-8B-TIES,2025-02-01,merge,8.03,,license_unverified;
DreadPoor/Winter_Night-8B-Model_Stock,2025-02-07,merge,8.03,,license_unverified;
DreadPoor/Yafune-8B-Model_Stock,2025-02-12,merge,8.03,,license_unverified;
DreadPoor/Yearn_V3-8B-Model_Stock,2025-01-25,merge,8.03,,license_unverified;
DreadPoor/ZEUS-8B-V17-Abliterated_ALT,2025-01-18,merge,8.03,,license_unverified;
DreadPoor/Zelus-8B-Model_Stock,2025-01-15,merge,8.03,apache-2.0,
DreadPoor/Zelus_V2-8B-Model_Stock,2025-01-15,merge,8.03,,license_unverified;
DreadPoor/felix_dies-mistral-7B-model_stock,2024-09-30,merge,7.242,,license_unverified;
DreadPoor/hakuchido-8B-MODEL_STOCK,2025-02-27,merge,8.03,,license_unverified;
DreadPoor/ichor-8B-Model_Stock,2025-03-03,merge,8.03,,license_unverified;
DreadPoor/ichor_1.1-8B-Model_Stock,2025-03-06,merge,8.03,,license_unverified;
DreadPoor/inexpertus-8B-Model_Stock,2025-03-07,merge,8.03,,license_unverified;
DreadPoor/inexpertus_1.1-8B-LINEAR,2025-03-07,merge,8.03,,license_unverified;
DreadPoor/inexpertus_1.2-8B-LINEAR,2025-03-08,merge,8.03,,license_unverified;
DreadPoor/mergekit-nuslerp-nqzkedi,2025-01-29,merge,8.03,,license_unverified;
DreadPoor/remember_to_breathe-8b-Model-Stock,2024-12-06,merge,8.03,,license_unverified;
DreadPoor/test,2025-01-28,merge,8.03,,license_unverified;
DreadPoor/test_ALT,2025-01-28,merge,8.03,,license_unverified;
DreadPoor/tests_pending-do_not_use_yet,2025-02-04,merge,8.03,,license_unverified;
ECE-ILAB-PRYMMAL/ILAB-Merging-3B-V2,2025-03-09,merge,3.821,apache-2.0,
EVA-UNIT-01/EVA-Qwen2.5-14B-v0.2,2024-12-26,chat_finetuned,14.77,apache-2.0,
EVA-UNIT-01/EVA-Qwen2.5-72B-v0.2,2024-11-27,chat_finetuned,72.706,other,license_unverified;
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-34fail-3000total-bf16,2025-01-30,chat_finetuned,8.03,cc-by-nc-4.0,
EleutherAI/gpt-j-6b,2024-08-19,pretrained,6.0,apache-2.0,
EleutherAI/gpt-neo-1.3B,2024-06-12,pretrained,1.366,mit,
EleutherAI/gpt-neo-125m,2024-08-10,pretrained,0.15,mit,
EleutherAI/gpt-neo-2.7B,2024-06-12,pretrained,2.718,mit,
EleutherAI/gpt-neox-20b,2024-06-09,pretrained,20.739,apache-2.0,
EleutherAI/pythia-1.4b,2025-01-28,pretrained,1.515,apache-2.0,
EleutherAI/pythia-12b,2024-06-12,pretrained,12.0,apache-2.0,
EleutherAI/pythia-160m,2024-06-09,pretrained,0.213,apache-2.0,
EleutherAI/pythia-1b,2025-01-27,pretrained,1.079,apache-2.0,
EleutherAI/pythia-2.8b,2024-06-12,pretrained,2.909,apache-2.0,
EleutherAI/pythia-410m,2024-06-09,pretrained,0.506,apache-2.0,
EleutherAI/pythia-6.9b,2024-06-12,pretrained,6.9,apache-2.0,
Enno-Ai/EnnoAi-Pro-French-Llama-3-8B-v0.4,2024-06-30,chat_finetuned,8.031,creativeml-openrail-m,
Enno-Ai/EnnoAi-Pro-Llama-3-8B,2024-07-08,chat_finetuned,8.031,creativeml-openrail-m,
Enno-Ai/EnnoAi-Pro-Llama-3-8B-v0.3,2024-06-26,chat_finetuned,8.03,creativeml-openrail-m,
Enno-Ai/EnnoAi-Pro-Llama-3.1-8B-v0.9,2024-09-06,chat_finetuned,8.03,apache-2.0,
EnnoAi/EnnoAi-7B-French-Instruct-202502,2025-02-11,chat_finetuned,7.456,apache-2.0,
EnnoAi/EnnoAi-Pro-Llama-3.1-8B-v1.0,2024-09-06,chat_finetuned,8.03,apache-2.0,
Epiculous/Azure_Dusk-v0.2,2024-09-14,chat_finetuned,12.248,apache-2.0,
Epiculous/Crimson_Dawn-v0.2,2024-09-05,chat_finetuned,12.248,apache-2.0,
Epiculous/NovaSpark,2024-10-20,chat_finetuned,8.03,apache-2.0,
Epiculous/Violet_Twilight-v0.2,2024-09-16,merge,12.248,apache-2.0,
EpistemeAI/Alpaca-Llama3.1-8B,2024-08-13,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Athena-gemma-2-2b-it,2024-09-06,chat_finetuned,2.0,apache-2.0,
EpistemeAI/Athena-gemma-2-2b-it-Philos,2024-09-05,chat_finetuned,2.0,apache-2.0,
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,2024-09-06,chat_finetuned,7.0,apache-2.0,
EpistemeAI/DeepPhi-3.5-mini-instruct,2025-02-28,chat_finetuned,3.821,mit,
EpistemeAI/DeepThinkers-Phi4,2025-03-01,chat_finetuned,14.66,mit,
EpistemeAI/FineLlama3.1-8B-Instruct,2024-08-10,chat_finetuned,14.483,,license_unverified;
EpistemeAI/Fireball-12B,2024-08-21,chat_finetuned,12.248,apache-2.0,
EpistemeAI/Fireball-12B-v1.13a-philosophers,2024-09-03,chat_finetuned,12.0,apache-2.0,
EpistemeAI/Fireball-Alpaca-Llama-3.1-8B-Philos-DPO-200,2024-09-16,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Fireball-Alpaca-Llama3.1.07-8B-Philos-Math-KTO-beta,2024-09-14,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Fireball-Alpaca-Llama3.1.08-8B-Philos-C-R2,2024-09-14,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-0.001-128K-auto,2024-11-15,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K,2024-10-05,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code,2024-10-05,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds,2024-10-15,chat_finetuned,8.0,llama3.1,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto,2024-10-29,chat_finetuned,8.03,apache-2.0,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto,2024-11-27,chat_finetuned,8.03,apache-2.0,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,2024-10-11,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-ds-auto,2024-11-14,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Math,2024-09-23,chat_finetuned,8.03,apache-2.0,
EpistemeAI/Fireball-Meta-Llama-3.2-8B-Instruct-agent-003-128k-code-DPO,2024-10-09,chat_finetuned,8.0,apache-2.0,
EpistemeAI/Fireball-Mistral-Nemo-Base-2407-v1-DPO2,2024-08-19,chat_finetuned,12.248,apache-2.0,
EpistemeAI/Fireball-R1-Llama-3.1-8B,2025-02-12,chat_finetuned,8.03,llama3.1,
EpistemeAI/Fireball-R1-Llama-3.1-8B-Medical-COT,2025-02-28,chat_finetuned,8.03,apache-2.0,
EpistemeAI/Fireball-R1.1-Llama-3.1-8B,2025-03-02,chat_finetuned,8.03,llama3.1,
EpistemeAI/Llama-3.2-3B-Agent007-Coder,2024-10-08,chat_finetuned,3.0,apache-2.0,
EpistemeAI/Mistral-Nemo-Instruct-12B-Philosophy-Math,2024-09-26,chat_finetuned,12.248,apache-2.0,
EpistemeAI/OpenReasoner-Llama-3.2-3B-rs1.0,2025-02-15,chat_finetuned,3.213,llama3.2,
