alpha,nu,objective
0.33525,0.28125,6.592573572014169e-05
0.33525,0.2815,7.038928812127782e-05
0.33525,0.28175,7.56051891782673e-05
0.33525,0.282,8.157322349105762e-05
0.33525,0.28225,8.829317439936564e-05
0.33525,0.2825,9.576482398378124e-05
0.33525,0.28275,0.0001039879530665556
0.33525,0.283,0.00011296234121271445
0.33525,0.28325,0.00012268776673092196
0.33525,0.2835,0.00013316400667449542
0.33525,0.28375,0.0001443908368424191
0.33525,0.284,0.00015636803178027458
0.33525,0.28425,0.0001690953647812604
0.33525,0.2845,0.00018257260788714528
0.33525,0.28474999999999995,0.00019679953188936043
0.33525,0.285,0.0002117759063299292
0.3355,0.275,0.00019398270239429056
0.3355,0.27525,0.00017957136045432788
0.3355,0.2755,0.00016591733996150376
0.3355,0.27575,0.00015302045731403166
0.3355,0.276,0.00014088052762786115
0.3355,0.27625,0.00012949736473748228
0.3355,0.2765,0.00011887078119681076
0.3355,0.27675,0.00010900058827991069
0.3355,0.277,9.988659598192923e-05
0.3355,0.27725,9.152861301988729e-05
0.3355,0.2775,8.392644683353439e-05
0.3355,0.27775,7.707990358622487e-05
0.3355,0.278,7.098878816571942e-05
0.3355,0.27825,6.565290418510656e-05
0.3355,0.2785,6.107205398360403e-05
0.3355,0.27875,5.724603862753164e-05
0.3355,0.279,5.417465791107962e-05
0.3355,0.27925,5.185771035728004e-05
0.3355,0.2795,5.029499321881965e-05
0.3355,0.27975,4.948630247901115e-05
0.3355,0.2798924654965345,4.9362659529817044e-05
0.3355,0.28,4.943143285264579e-05
0.3355,0.28025,5.013017778688194e-05
0.3355,0.28049999999999997,5.158232946223041e-05
0.3355,0.28075,5.378767879339786e-05
0.3355,0.28099999999999997,5.674601543021979e-05
0.3355,0.28125,6.045712775864085e-05
0.3355,0.2815,6.492080290157297e-05
0.3355,0.28175,7.013682671989025e-05
0.3355,0.282,7.610498381335114e-05
0.3355,0.28225,8.28250575215007e-05
0.3355,0.2825,9.029682992474705e-05
0.3355,0.28275,9.852008184518904e-05
0.3355,0.283,0.00010749459284765344
0.3355,0.28325,0.00011722014124062626
0.3355,0.2835,0.00012769650407728865
0.3355,0.28375,0.00013892345715640426
0.3355,0.284,0.00015090077502339096
0.3355,0.28425,0.00016362823097127577
0.3355,0.2845,0.0001771055970416573
0.3355,0.28474999999999995,0.00019133264402578618
0.3355,0.285,0.00020630914146552872
0.33575,0.275,0.00018880875072792516
0.33575,0.27525,0.00017439753102055944
0.33575,0.2755,0.000160743632784006
0.33575,0.27575,0.00014784687241630517
0.33575,0.276,0.00013570706503321419
0.33575,0.27625,0.00012432402446908443
0.33575,0.2765,0.00011369756327759673
0.33575,0.27675,0.0001038274927326835
0.33575,0.277,9.471362282928692e-05
0.33575,0.27725,8.63557622842832e-05
0.33575,0.2775,7.875371853721535e-05
0.33575,0.27775,7.190729775126851e-05
0.33575,0.278,6.58163048140287e-05
0.33575,0.27825,6.048054333840264e-05
0.33575,0.2785,5.589981566344431e-05
0.33575,0.27875,5.2073922855285653e-05
0.33575,0.279,4.9002664707942805e-05
0.33575,0.27925,4.668583974425803e-05
0.33575,0.2795,4.512324521676673e-05
0.33575,0.27975,4.4314677108595934e-05
0.33575,0.2798924654965345,4.419110405168084e-05
0.33575,0.28,4.4259930134338546e-05
0.33575,0.28025,4.495879774100571e-05
0.33575,0.28049999999999997,4.641107210892609e-05
